43;49;43;49;35
45;57;37;51;33
41;41;41;43;29
35;35;29;29;29
29;29;29;35;23
27;27;35;35;27
51;69;53;67;43
63;71;59;61;49
33;45;35;39;31
67;87;55;71;55
37;49;41;45;29
67;75;67;71;55
53;85;51;73;47
57;69;47;57;41
93;95;77;79;77
69;75;73;81;59
53;63;51;57;37
25;27;31;35;23
51;51;55;55;49
57;63;63;67;45
47;47;43;43;37
43;61;43;61;35
35;35;49;49;31
53;55;61;61;41
89;91;89;93;75
55;57;55;57;39
29;37;31;37;21
59;65;63;69;53
45;57;51;57;33
47;47;45;47;39
43;61;47;61;35
29;41;35;39;29
31;37;35;37;27
27;31;31;37;23
37;37;45;47;33
39;51;45;57;31
71;83;79;89;59
57;63;41;43;41
37;37;31;31;31
53;53;45;47;35
41;41;41;41;33
27;33;27;33;19
33;33;27;27;23
25;25;35;35;25
75;97;77;91;57
49;55;53;59;41
75;75;67;67;59
71;91;81;97;51
33;37;35;37;29
69;69;73;73;59
67;67;69;69;49
49;73;61;75;47
53;57;53;53;37
49;53;47;55;43
65;65;63;63;55
45;67;45;69;37
43;55;41;45;29
35;35;37;37;33
83;83;91;91;77
39;49;35;51;29
71;83;71;85;61
35;37;25;27;25
35;37;27;27;25
69;85;81;85;57
21;27;19;37;17
33;33;29;33;25
63;65;53;57;43
55;73;53;69;43
41;41;45;45;33
57;83;63;89;43
57;57;61;61;51
45;45;29;29;29
37;51;41;51;29
93;93;93;93;77
37;55;39;55;31
45;69;49;71;37
51;71;53;55;37
35;43;37;43;27
47;51;63;69;41
39;47;35;43;27
47;49;43;45;35
43;61;49;67;35
47;57;59;69;35
67;73;67;75;61
23;41;29;37;23
39;47;43;51;29
27;27;25;25;21
79;81;65;69;55
57;57;57;59;53
65;65;49;49;47
77;77;59;59;55
33;37;37;37;27
49;61;57;65;43
61;73;67;69;47
57;61;55;55;43
51;57;67;67;47
35;49;37;51;29
65;71;63;73;45
39;51;39;55;33
45;73;57;75;37
35;45;35;41;27
51;57;45;51;43
31;45;25;35;23
29;29;23;23;17
39;53;47;53;33
65;73;61;65;49
69;73;59;59;45
49;67;49;63;39
71;71;73;73;67
65;67;57;61;47
53;53;57;57;53
55;55;51;51;47
69;75;63;67;59
55;61;55;59;47
23;31;23;27;17
43;57;45;55;35
65;65;49;49;41
53;71;55;61;43
67;67;75;75;65
43;43;43;43;43
31;37;29;31;25
49;83;53;79;45
33;33;35;35;29
43;43;47;47;37
39;39;35;35;25
57;73;63;75;51
33;41;31;37;29
25;25;21;21;17
51;73;55;73;45
35;35;35;35;33
53;71;59;67;39
41;61;41;59;35
49;59;51;53;39
27;35;27;31;21
57;57;47;47;47
81;81;73;73;73
21;21;17;21;17
43;47;41;45;35
31;35;45;51;29
51;63;53;57;39
37;49;39;47;29
69;89;67;87;51
33;43;33;45;23
39;51;35;43;27
39;57;47;65;33
67;67;55;55;47
43;45;39;43;29
39;41;41;43;37
69;79;71;77;57
49;55;43;49;39
37;45;41;45;33
29;29;25;25;23
53;71;57;71;51
75;75;69;69;59
27;29;27;27;19
49;59;49;61;39
39;55;45;53;33
59;59;57;57;49
41;41;41;41;35
47;47;45;45;37
69;75;79;83;55
41;69;49;77;37
39;45;25;31;25
25;33;41;43;25
23;25;17;21;17
37;59;43;47;27
19;19;15;17;11
45;51;45;49;37
55;61;55;65;43
63;73;63;63;53
101;103;99;101;87
19;31;21;33;19
25;29;29;29;25
45;45;47;47;31
33;41;43;43;27
35;35;29;29;25
21;35;27;29;17
65;75;71;73;43
53;55;65;65;43
61;83;67;83;55
63;85;65;79;53
39;55;41;57;29
55;65;57;67;47
45;51;37;45;33
59;61;53;59;53
31;39;47;57;31
53;57;61;63;47
61;61;61;61;49
25;31;19;21;19
31;31;29;29;23
85;85;79;79;63
49;63;53;61;35
41;47;45;49;35
15;33;15;33;15
59;59;65;65;53
23;31;25;33;19
23;23;23;23;23
47;51;37;43;35
45;81;55;81;35
61;71;65;75;51
39;43;37;41;31
55;55;69;69;47
53;71;53;79;43
33;37;27;29;27
63;95;59;89;47
43;57;53;57;33
39;39;37;37;29
39;39;39;39;31
55;79;63;79;43
37;37;23;23;23
65;67;67;69;53
61;75;69;79;45
41;61;51;63;35
67;87;77;97;57
51;59;51;55;39
55;55;49;49;45
47;47;51;51;37
77;85;67;73;59
51;51;51;51;37
71;71;63;63;51
29;31;23;25;23
23;23;21;21;21
55;55;45;45;37
33;41;29;35;27
53;53;55;57;49
27;31;27;41;23
41;51;53;55;37
53;85;57;83;37
33;43;37;45;31
25;25;33;35;25
59;65;57;63;51
49;49;51;51;35
49;51;47;51;41
43;51;43;51;35
39;43;39;45;37
55;65;57;63;43
53;53;39;39;39
41;59;57;65;37
41;55;47;61;35
33;33;37;37;33
49;61;55;65;37
53;77;57;77;41
67;71;77;81;59
51;55;53;61;37
61;65;63;65;45
45;59;37;47;29
23;41;27;31;23
41;53;35;45;27
55;59;37;41;37
47;57;49;55;37
41;41;37;37;29
75;75;71;71;61
57;81;49;67;37
63;63;59;59;49
59;109;59;101;47
23;27;15;25;15
33;51;37;51;29
33;33;33;37;29
55;55;53;53;47
67;67;57;57;57
31;31;31;31;25
39;47;43;43;35
59;77;65;69;43
53;53;57;57;41
81;99;87;101;63
55;57;51;51;49
39;43;35;41;29
65;77;63;69;49
31;33;25;31;25
25;29;29;29;25
81;81;73;73;71
59;75;63;77;47
41;49;39;45;33
53;55;49;49;43
57;67;59;71;51
39;39;39;39;31
31;31;27;27;27
45;59;49;61;41
49;61;51;63;37
31;37;35;39;23
51;51;49;49;43
47;47;49;49;39
65;85;73;83;57
51;53;53;53;37
69;81;69;69;57
41;43;43;45;27
39;73;47;67;31
55;65;63;63;41
41;61;41;55;33
53;73;47;61;39
51;51;41;41;39
53;57;55;59;47
61;95;51;83;47
49;49;49;49;37
33;33;31;31;29
27;27;25;25;25
63;71;63;63;45
53;57;47;47;43
57;61;51;55;45
17;17;21;21;17
47;47;47;47;35
39;39;35;35;35
35;35;35;35;29
65;71;75;77;49
29;43;37;43;29
49;55;49;57;37
37;39;37;43;33
43;67;43;59;31
57;71;53;63;47
37;39;43;47;31
37;39;37;37;35
39;39;31;31;29
49;53;47;53;43
49;59;59;61;43
51;51;45;45;35
47;67;45;59;33
31;33;29;33;25
37;55;35;51;33
37;49;43;57;33
39;45;43;49;31
57;57;57;57;47
23;27;23;27;21
49;59;47;53;37
35;37;29;37;23
63;63;55;55;39
49;61;41;47;35
61;77;71;73;51
15;19;15;19;13
41;57;49;57;37
45;61;47;67;37
55;73;57;71;47
45;69;59;61;35
29;29;35;35;29
27;27;25;29;25
35;47;35;39;29
53;53;47;47;35
43;45;43;43;39
43;55;41;55;31
